Tanoo,坦欧
FWA-4V,FWA-4V
RZC-16,RZC-16
RD-G2R,RD-G2R
UC3H-Y,UC3H-Y
6GWE-A,6GWE-A
J-OK0C,J-OK0C
KDV-DE,KDV-DE
MT9Q-S,MT9Q-S
B-9C24,B-9C24
P-2TTL,P-2TTL
7X-VKB,7X-VKB
E-Z2ZX,E-Z2ZX
RORZ-H,RORZ-H
O-A6YN,O-A6YN
MQ-NPY,MQ-NPY
D2-HOS,D2-HOS
Y2-6EA,Y2-6EA
TFA0-U,TFA0-U
RQH-MY,RQH-MY
HPS5-C,HPS5-C
DT-TCD,DT-TCD
KU5R-W,KU5R-W
H1-J33,H1-J33
Y-C3EQ,Y-C3EQ
OGV-AS,OGV-AS
7D-0SQ,7D-0SQ
UI-8ZE,UI-8ZE
Bei,贝伊
Uttindar,乌汀达
Hagilur,哈吉鲁尔
Anher,安赫尔
Ragnarg,拉哥那格
Hek,赫克
Hror,霍尔
Amo,阿莫
Resbroko,勒斯布洛克
Hadozeko,哈多泽克
Ardar,阿尔达
Auner,奥尼尔
Evati,伊瓦提
Ofstold,欧法斯托德
Todifrauan,托蒂弗伦
Helgatild,赫加特德
Arnstur,恩斯图尔
Lasleinur,拉斯勒努尔
Arnher,阿希尔
Brin,布林
Nakugard,纳库加德
Traun,塔拉文
Uriok,尤里科
Barkrik,巴尔克里克
Inder,因德尔
Tvink,维因克
Lanngisi,朗基斯
Hjoramold,加拉摩德
Dudreda,杜德瑞达
Hakisalki,哈吉萨基
Arwa,阿尔瓦
Krirald,克里拉德
Arifsdald,埃法斯达德
Ansen,安歇恩
Floseswin,弗洛瑟文
Uisper,尤斯佩尔
Aset,艾瑟特
Eytjangard,伊亚加德
Turnur,图尔鲁尔
Isbrabata,伊斯巴巴塔
Vimeini,维梅尼
Avenod,埃文诺德
Frerstorn,福尔塞多姆
Ontorn,昂托恩
Sirekur,希尔勒库
Gebuladi,加柏拉蒂
Ebolfer,伊波菲尔
Eszur,伊斯祖尔
Hofjaldgund,赫加格德
Klogori,克洛格力
Orfrold,欧尔弗德
Egmar,艾格玛尔
Taff,塔夫
Ualkin,尤金
Gukarla,古卡尔拉
NS2L-4,NS2L-4
QI-S9W,QI-S9W
B-S347,B-S347
PPFB-U,PPFB-U
AF0-V5,AF0-V5
B-A587,B-A587
Y19P-1,Y19P-1
B9E-H6,B9E-H6
SPBS-6,SPBS-6
JDAS-0,JDAS-0
A4B-V5,A4B-V5
LN-56V,LN-56V
Y2-QUV,Y2-QUV
O7-7UX,O7-7UX
Z8-81T,Z8-81T
XD-JW7,XD-JW7
DY-P7Q,DY-P7Q
H-RXNZ,H-RXNZ
ZBP-TP,ZBP-TP
XVV-21,XVV-21
GXK-7F,GXK-7F
EA-HSA,EA-HSA
78TS-Q,78TS-Q
WYF8-8,WYF8-8
CJNF-J,CJNF-J
FYI-49,FYI-49
RF6T-8,RF6T-8
ZJA-6U,ZJA-6U
94FR-S,94FR-S
Q-HJ97,Q-HJ97
GM-0K7,GM-0K7
I-NGI8,I-NGI8
R-ZUOL,R-ZUOL
E1F-LK,E1F-LK
Z4-QLD,Z4-QLD
QE-E1D,QE-E1D
LK1K-5,LK1K-5
REB-KR,REB-KR
Z-H2MA,Z-H2MA
L-5JCJ,L-5JCJ
B-KDOZ,B-KDOZ
4-GB14,4-GB14
PH-NFR,PH-NFR
DW-N2S,DW-N2S
W-FHWJ,W-FHWJ
X-6WC7,X-6WC7
D-BAMJ,D-BAMJ
JKWP-U,JKWP-U
RHE7-W,RHE7-W
F76-8Q,F76-8Q
O3Z5-G,O3Z5-G
4DV-1T,4DV-1T
XS-K1O,XS-K1O
FN-DSR,FN-DSR
B-R5RB,B-R5RB
7-ZT1Y,7-ZT1Y
9-XN3F,9-XN3F
AC-7LZ,AC-7LZ
LBA-SO,LBA-SO
Y-FZ5N,Y-FZ5N
E8-YS9,E8-YS9
U79-JF,U79-JF
B2-UQW,B2-UQW
U9U-TQ,U9U-TQ
6-I162,6-I162
08-N7Q,08-N7Q
Y-C4AL,Y-C4AL
CKX-RW,CKX-RW
8X6T-8,8X6T-8
W4E-IT,W4E-IT
OP9L-F,OP9L-F
J-QA7I,J-QA7I
2O-EEW,2O-EEW
Y-N4EF,Y-N4EF
7YSF-E,7YSF-E
KCDX-7,KCDX-7
O7-VJ5,O7-VJ5
FRTC-5,FRTC-5
M-ZJWJ,M-ZJWJ
R-ORB7,R-ORB7
RU-PT9,RU-PT9
DR-427,DR-427
NI-J0B,NI-J0B
QN-6J2,QN-6J2
Amarr,艾玛
Boranai,博拉那伊
Hedion,赫迪农
Mabnen,玛布冷
Toshabia,托沙比雅
Irnin,伊明
Kehour,克霍尔
Martha,马耳他
Simbeloud,西姆贝罗德
Ebidan,厄博丹
Akhragan,埃克拉甘
Mikhir,米克希尔
Bashakru,巴沙克鲁
Sukirah,苏基拉赫
Shuria,舒利亚
Narai,纳莱
Ziona,左那
Gaha,伽哈
Armala,阿尔马拉
Murema,穆勒马
Cailanar,柴兰纳尔
Ilonarav,伊洛娜拉夫
Uchat,尤查特
Joppaya,乔巴亚
Pelkia,佩吉亚
Raren,拉仁
Mazitah,玛兹塔
Hiramu,西拉姆
Sakhti,萨科提
Aldali,阿尔达里
Hutian,胡天
Noli,诺里
Nomash,诺玛什
Aghesi,阿戈西
Fabin,法宾
Airshaz,厄尔莎茨
Patzcha,帕茨查
Charra,查尔拉
Harva,哈洱瓦
Thebeka,特贝卡
Rasile,拉希勒
Nererut,尼勒鲁特
Sitanan,西塔南
Vashkah,瓦什卡尔
Ardishapur Prime,阿狄莎波首星
Gid,基达
Dakba,达卡巴
Nifshed,尼夫沙德
Shumam,舒曼
Milal,密拉尔
Sobenah,索贝纳
Bourar,博拉尔
Rammi,拉姆米
Arodan,埃罗丹
Rimbah,利姆巴
Mamenkhanar,马蒙卡纳尔
Seiradih,希尔拉迪
Arera,阿勒拉
Hizhara,西扎拉
Neziel,勒茨尔
Ahala,阿哈拉
Knophtikoo,诺夫提科
Ruchy,鲁赤
Hai,哈伊
Sadye,撒德耶
Bika,碧卡
Arshat,埃尔沙特
Jerma,杰尔马
Miyeli,米耶利
Reyi,勒里
Moussou,毛索
Nadohman,那朵曼
Sahdil,萨蒂尔
Esteban,厄斯特班
Luromooh,努罗莫
Nalu,哪鲁
Jarshitsan,贾什赞
Hadonoo,哈多诺
Azizora,阿茨左拉
Ahmak,阿马科
Shabura,沙布拉
Adia,阿迪亚
Ebo,厄博
Avair,埃瓦尔
Rayl,莱尔
Asoutar,奥索达
Porsharrah,波尔莎拉
Tastela,他斯特勒
Clarelam,客拉瑞拉姆
Isamm,伊萨姆恩
Ebtesham,埃贝特斯哈姆
Artoun,阿尔托恩
Safizon,萨费安
Zatsyaki,杂特夏基
Eba,埃巴
Bhizheba,必泽巴
2G-VDP,2G-VDP
9F-3CR,9F-3CR
J7M-3W,J7M-3W
KRPF-A,KRPF-A
9P-870,9P-870
QNXJ-M,QNXJ-M
AID-9T,AID-9T
PXE-RG,PXE-RG
5J-62N,5J-62N
Z-DRIY,Z-DRIY
8-MXHA,8-MXHA
LPVL-5,LPVL-5
D3S-EA,D3S-EA
KGT3-6,KGT3-6
4LJ6-Q,4LJ6-Q
SAH-AD,SAH-AD
MF-PGF,MF-PGF
L-ZJLN,L-ZJLN
G-QTSD,G-QTSD
3G-LFX,3G-LFX
NK-VTL,NK-VTL
D-CR6W,D-CR6W
BY-7PY,BY-7PY
GN-TNT,GN-TNT
QKCU-4,QKCU-4
0M-24X,0M-24X
N06Z-Q,N06Z-Q
YX-0KH,YX-0KH
KMH-J1,KMH-J1
CYB-BZ,CYB-BZ
5U-3PW,5U-3PW
89JS-J,89JS-J
C9R-NO,C9R-NO
FKR-SR,FKR-SR
1ACJ-6,1ACJ-6
BNX-AS,BNX-AS
XB-9U2,XB-9U2
F9-FUV,F9-FUV
FB-MPY,FB-MPY
RO-0PZ,RO-0PZ
JTA2-2,JTA2-2
R-6KYM,R-6KYM
3H58-R,3H58-R
RV-GA8,RV-GA8
TP-RTO,TP-RTO
GTY-FW,GTY-FW
1H5-3W,1H5-3W
QZV-X3,QZV-X3
IS-OBW,IS-OBW
1GH-48,1GH-48
IRD-HU,IRD-HU
B-2VXB,B-2VXB
FIZU-X,FIZU-X
JAWX-R,JAWX-R
Z0G-XG,Z0G-XG
ALC-JM,ALC-JM
9QS5-C,9QS5-C
NWX-LI,NWX-LI
N-SFZK,N-SFZK
2B-UUQ,2B-UUQ
I64-XB,I64-XB
4-QDIX,4-QDIX
FGJP-J,FGJP-J
89-JPE,89-JPE
D-IZT9,D-IZT9
WU9-ZR,WU9-ZR
E8-432,E8-432
43-1TL,43-1TL
O-LJOO,O-LJOO
ZS-PNI,ZS-PNI
TZ-74M,TZ-74M
8KE-YS,8KE-YS
LXQ2-T,LXQ2-T
HV-EAP,HV-EAP
3IK-7O,3IK-7O
O-EUHA,O-EUHA
MO-I1W,MO-I1W
ZZ5X-M,ZZ5X-M
UAV-1E,UAV-1E
CL-IRS,CL-IRS
QBZO-R,QBZO-R
QHJR-E,QHJR-E
1PF-BC,1PF-BC
D-OJEZ,D-OJEZ
C-V6DQ,C-V6DQ
Z-FET0,Z-FET0
EX-GBT,EX-GBT
PX-IHN,PX-IHN
WPV-JN,WPV-JN
IL-H0A,IL-H0A
CT8K-0,CT8K-0
M9-LAN,M9-LAN
C-4D0W,C-4D0W
L4X-1V,L4X-1V
M-V0PQ,M-V0PQ
DYPL-6,DYPL-6
V-OL61,V-OL61
RK-Q51,RK-Q51
F69O-M,F69O-M
T-IDGH,T-IDGH
Aeddin,埃伊丁
Gulfonodi,古夫诺蒂
Teonusude,提鲁苏德
Gelfiven,杰斐文
Bosena,伯瑟娜
Oddelulf,欧德鲁法
Atlar,埃塔拉尔
Heild,海蒂
Hrokkur,希尔库乌
Hrober,希尔伯
Aedald,埃伊达特
Muttokon,马顿克恩
Audesder,奥德斯代尔
Illamur,伊拉缪尔
Horaka,赫拉卡
Eldulf,伊尔多夫
Orien,欧瑞恩
Varigne,瓦瑞吉勒
Meildolf,梅尔多夫
Istodard,伊斯塔德
Gonheim,戈西姆
Half,哈夫
Sakulda,萨库尔达
Hedaleolfarber,赫达列法
Altbrard,埃特布拉德
Fegomenko,菲格蒙克
Osvetur,欧斯维图
Mimiror,米米洛
Skarkon,斯卡尔克恩
Ennur,恩努尔
Unertek,尤勒迪克
Klingt,克林格特
Weld,威尔德
Kattegaud,卡特加德
Kadlina,卡德里纳
Hegfunden,赫古芬登
Aeditide,耶蒂泰德
Egbinger,伊格贝格尔
MR4-MY,MR4-MY
SR-KBB,SR-KBB
FDZ4-A,FDZ4-A
2E-ZR5,2E-ZR5
O1-FTD,O1-FTD
Roua,若阿
OEY-OR,OEY-OR
M-MD31,M-MD31
WH-2EZ,WH-2EZ
D0-F4W,D0-F4W
QKTR-L,QKTR-L
YN3-E3,YN3-E3
NBPH-N,NBPH-N
L-HV5C,L-HV5C
L4X-FH,L4X-FH
B6-52M,B6-52M
V-MZW0,V-MZW0
BND-16,BND-16
IOO-7O,IOO-7O
BWF-ZZ,BWF-ZZ
4-CUM5,4-CUM5
8MG-J6,8MG-J6
RLSI-V,RLSI-V
39-DGG,39-DGG
SV-K8J,SV-K8J
6RQ9-A,6RQ9-A
K42-IE,K42-IE
VSJ-PP,VSJ-PP
3USX-F,3USX-F
9-KWXC,9-KWXC
NQ-9IH,NQ-9IH
KR-V6G,KR-V6G
AP9-LV,AP9-LV
0-GZX9,0-GZX9
2H-TSE,2H-TSE
4NGK-F,4NGK-F
O-VWPB,O-VWPB
LX-ZOJ,LX-ZOJ
6L78-1,6L78-1
04-LQM,04-LQM
4VY-Y1,4VY-Y1
LU-HQS,LU-HQS
U-L4KS,U-L4KS
K25-XD,K25-XD
6YC-TU,6YC-TU
Y8R-XZ,Y8R-XZ
P-E9GN,P-E9GN
HJO-84,HJO-84
4D9-66,4D9-66
L-TOFR,L-TOFR
Q-TBHW,Q-TBHW
9P4O-F,9P4O-F
UBX-CC,UBX-CC
TJM-JJ,TJM-JJ
EOA-ZC,EOA-ZC
G-73MR,G-73MR
E-91FV,E-91FV
AD-5B8,AD-5B8
QP0K-B,QP0K-B
54-MF6,54-MF6
D-I9HJ,D-I9HJ
P-6I0B,P-6I0B
CFYY-J,CFYY-J
8-KZXQ,8-KZXQ
HKYW-T,HKYW-T
3SFU-S,3SFU-S
VJ-NQP,VJ-NQP
U6D-9A,U6D-9A
Atioth,艾蒂斯
PYY3-5,PYY3-5
RFGW-V,RFGW-V
N-HK93,N-HK93
LR-2XT,LR-2XT
TZL-WT,TZL-WT
4K0N-J,4K0N-J
B-F1MI,B-F1MI
W-3BSU,W-3BSU
BE-UUN,BE-UUN
O2O-2X,O2O-2X
JE1-36,JE1-36
5F-YRA,5F-YRA
TDE4-H,TDE4-H
UER-TH,UER-TH
UG-UWZ,UG-UWZ
Hulm,休姆
Osoggur,奥索古尔
Abudban,阿布德班
Trytedald,泰特达尔德
Odatrik,奥达特里克
Rens,伦斯
Ameinaka,埃美纳卡
Alakgur,阿拉库古
Dammalin,达马林
Bosboger,波斯伯格
Olfeim,欧菲姆
Lulm,鲁尔姆
Gulmorogod,古摩洛歌德
Edmalbrurdus,伊德马博多斯
Kronsur,库罗素尔
Dumkirinur,杜吉里努尔
Sist,希斯特
Obrolber,欧布洛贝尔
Austraka,奥斯塔卡
Ivar,伊瓦尔
Meirakulf,梅拉库夫
Frarn,法若恩
Illinfrik,伊林福理克
Balginia,宝吉尼亚
Gyng,吉格
Avesber,埃维斯贝尔
Gerek,吉尔勒克
Tongofur,唐格夫
Gerbold,吉尔伯德
Rokofur,洛克菲尔
Ebasgerdur,爱巴格杜尔
Ebodold,埃博多德
Amamake,埃玛马克
Vard,瓦尔蒂
Siseide,希瑟伊德
Lantorn,兰多恩
Dal,达尔
Auga,奥加
Eystur,尤斯塔
Pator,帕多尔
Lustrevik,劳斯特威克
Isendeldik,伊森杜迪克
Ammold,埃莫奥德
Emolgranlan,伊莫戈兰伦
Offugen,奥弗根
Roniko,罗尼考
Aralgrund,阿拉古鲁迪
Eddar,埃达尔
Bogelek,伯格勒克
Wiskeber,维斯克贝尔
Eifer,埃伊费尔
Gusandall,古萨恩杜
Atgur,埃特古尔
Endrulf,恩多拉夫
Ingunn,因加恩
Gultratren,瓜塔特伦
Auren,奥伦
Trer,特瑞尔
Egmur,伊格缪尔
Javrendei,加仑德
Appen,埃皮恩
Klir,克里尔
Jorus,尤瑞斯
Onga,昂加
Osaumuni,奥萨姆尼
Magiko,玛吉库
Oremmulf,欧勒姆福
Hurjafren,胡尔加芬
Vullat,瓦拉特
Hrondedir,农德迪尔
Sotrenzur,所特伦卓
Hrondmund,农德马蒂
Bundindus,邦丁达斯
Otraren,奥特拉伦
Hedgiviter,赫德基维特
Katugumur,卡图古姆
1-7KWU,1-7KWU
3-UCBF,3-UCBF
N-CREL,N-CREL
TM-0P2,TM-0P2
4OIV-X,4OIV-X
Y-JKJ8,Y-JKJ8
AFJ-NB,AFJ-NB
H-64KI,H-64KI
9I-SRF,9I-SRF
9-IIBL,9-IIBL
5GQ-S9,5GQ-S9
YALR-F,YALR-F
68FT-6,68FT-6
IV-UNR,IV-UNR
IRE-98,IRE-98
HOHF-B,HOHF-B
Y-6B0E,Y-6B0E
F-3H2P,F-3H2P
DY-40Z,DY-40Z
XWY-YM,XWY-YM
M-9V5D,M-9V5D
O2-39S,O2-39S
M-VEJZ,M-VEJZ
LJK-T0,LJK-T0
E7VE-V,E7VE-V
NUG-OF,NUG-OF
L6BY-P,L6BY-P
U3SQ-X,U3SQ-X
01TG-J,01TG-J
UK-SHL,UK-SHL
A1BK-A,A1BK-A
N-7ECY,N-7ECY
4-MPSJ,4-MPSJ
TWJ-AW,TWJ-AW
PZMA-E,PZMA-E
442-CS,442-CS
Z-N9IP,Z-N9IP
9ZFH-Z,9ZFH-Z
6E-MOW,6E-MOW
GBT4-J,GBT4-J
GZ1-A1,GZ1-A1
X-0CKQ,X-0CKQ
6B-GKA,6B-GKA
LHGA-W,LHGA-W
4RS-L1,4RS-L1
D-L4H0,D-L4H0
GU-9F4,GU-9F4
FG-1GH,FG-1GH
WFYM-0,WFYM-0
FR-B1H,FR-B1H
DDI-B7,DDI-B7
Pettinck,佩汀克
Du Annes,杜安尼斯
Balle,巴勒
Decon,德康
Grinacanne,格里安卡尼
Metserel,梅茨瑞
Sharuveil,沙鲁维尔
Adreland,埃卓蓝德
Erme,厄尔梅
Aufay,奥法瑞
Iyen-Oursta,伊恩-奥斯塔
Faurent,法尔伦特
Ambeke,安贝克
Carrou,卡罗尔
Direrie,戴瑞尔
Ignoitton,伊格诺伊顿
Ardene,阿尔蒂尼
Boillair,波伊莱尔
Ney,勒伊
Fasse,法谢尔
Ala,埃拉
Gratesier,格瑞特西尔
Schoorasana,舒拉撒拿
Vylade,维拉德
Auvergne,奥威尔金
Aunia,奥尼亚
Agrallarier,阿瓜拉瑞尔
Dodixie,多迪谢
Eglennaert,安吉纳尔特
Botane,波塔尼
Pulin,普林
Foves,法维斯
Alles,阿列斯
Misneden,密斯列登
Basgerin,巴斯基林
Chelien,彻列恩
Trosquesere,卓瑟昆斯勒
Ansone,安索尼
Dunraelare,顿瑞尔拉
Nausschie,劳舒耶
Inghenges,印恒基斯
Estene,伊斯特内
Gallareue,加拉瑞尔
Stayme,斯黛米
Parchanier,帕查尼尔
Fluekele,弗琉克勒
Alsottobier,埃索托比尔
Jolia,乔利亚
Augnais,奥格奈斯
Deltole,底托勒
Colelie,克勒列
Barmalie,巴麦列
Audaerne,奥德尔尼
Dodenvale,多登瓦勒
Olettiers,奥勒迪尔斯
Artisine,阿尔提辛
Chainelant,查因兰特
Sileperer,希勒皮尔
Bamiette,巴米耶特
Crielere,克莱勒瑞
Jel,杰尔
Egghelende,伊格赫伦德
Odette,奥德特
Ation,埃谢恩
Stegette,斯特格特
Ravarin,拉瓦林
Aliette,埃列提
Brapelille,布拉佩列
Bawilan,巴维兰
Atier,埃提尔
Archee,阿尔谢
Brybier,布莱比尔
Adrallezoen,埃卓勒祖恩
Croleur,克洛鲁尔
Doussivitte,多苏维特
Unel,尤尼尔
Claysson,克莱辛
Auberulle,奥贝鲁勒
Adiere,埃迪尔勒
Stetille,斯特提勒
Alillere,埃里列热
Abenync,爱贝宁科
Pozirblant,伯茨布兰特
Bourynes,博因列斯
Aurcel,奥瑞瑟尔
Aymaerne,爱马尔列
Rancer,兰瑟
Miroitem,米洛伊特姆
Thelan,赛兰
Rorsins,罗辛斯
Lamadent,拉马登
Otou,欧托乌
Assiettes,爱谢特斯
Goinard,戈伊纳德
Raeghoscon,瑞果斯昆
Allipes,阿利佩斯
Lermireve,里尔米勒维
Aetree,爱伊特维
Esmes,伊斯密斯
Vittenyn,维特宁
Mirilene,米尔伦
Pucherie,普彻瑞尔
Fricoure,菲尔克勒
Caretyn,卡勒汀
Ainaille,埃莱勒
Konola,卡诺拉
Inoue,伊诺尤
Isaziwa,伊萨茨瓦
Eitu,尤图
Horkkisen,霍尔吉森
Erila,伊瑞纳
Ohvosamon,欧沃萨蒙
Auviken,奥围肯
Saikanen,塞卡伦
Oijamon,欧贾蒙
Kakki,卡基
Jeras,杰拉斯
Kausaaja,考萨贾
Oiniken,欧伊尼肯
Kaimon,凯蒙
Ahynada,阿西纳达
Aikoro,埃柯罗
Alikara,阿里卡拉
Usi,乌赛
Ishomilken,伊索米肯
Nikkishina,尼基什那
Hasama,哈萨马
Uuna,温纳
Manjonakko,曼贾纳克
Kassigainen,卡斯简恩
Yashunen,亚述勒恩
Tennen,特恩勒恩
Hatakani,哈塔卡尼
Sivala,希瓦拉
Iivinen,利维能
Kubinen,库比伦
Uedama,犹达玛
Enderailen,埃德诺冷
Tunudan,图努但
Kulelen,库勒仑
Rairomon,劳洛蒙
Hogimo,霍基莫
Huttaken,胡塔肯
Paara,帕尔拉
Annaro,安那罗
Isutaka,伊斯塔卡
Tasabeshi,塔萨比什
Ono,欧诺
Muvolailen,姆沃莱伦
Halaima,哈莱玛
Kamio,卡密欧
Sankkasen,三卡森
Tintoh,汀托
Santola,萨托拉
Ikao,伊考
Waira,瓦伊拉
Inaro,伊纳洛
Kaaputenen,卡普特伦
Waskisen,瓦斯基森
Sirppala,希尔帕拉
Irjunen,伊尔君勒
Inari,伊纳惹
Yria,以瑞亚
Oshaima,奥沙伊马
Hysera,希瑟拉
Kaunokka,库瓦诺加
Venilen,瓦尼纶
Oisio,欧希约
Haatomo,哈托莫
Suroken,苏洛肯
Kusomonmon,库索蒙莫
Juunigaishi,郡尼加什
Isikesu,伊斯克索
Anttiri,安提利
Hasmijaala,哈斯米贾拉
Nagamanen,那加玛嫩
Oto,欧图
Sujarento,苏加仁托
Eranakko,依然纳克
Onatoh,欧纳托
Tannolen,塔诺冷
Tama,塔玛
Uotila,乌提拉
Isenairos,伊森纳洛斯
Saila,塞伊拉
Aramachi,阿尔玛至
Oichiya,欧伊茨亚
Motsu,莫茨
N-JK02,N-JK02
JT2I-7,JT2I-7
XTJ-5Q,XTJ-5Q
1-KCSA,1-KCSA
UJXC-B,UJXC-B
UDVW-O,UDVW-O
F48K-D,F48K-D
FBH-JN,FBH-JN
BVRQ-O,BVRQ-O
QX-4HO,QX-4HO
LS3-HP,LS3-HP
SH6X-F,SH6X-F
6V-D0E,6V-D0E
SG-3HY,SG-3HY
AU2V-J,AU2V-J
SY-0AM,SY-0AM
A-YB15,A-YB15
QZX-L9,QZX-L9
D-6PKO,D-6PKO
RAI-0E,RAI-0E
MN9P-A,MN9P-A
TA9T-P,TA9T-P
L-TLFU,L-TLFU
BM-VYZ,BM-VYZ
Q-GICU,Q-GICU
EPCD-D,EPCD-D
0S1-GI,0S1-GI
L-GY1B,L-GY1B
74-DRC,74-DRC
LE-67X,LE-67X
B1UE-J,B1UE-J
O31W-6,O31W-6
M3-H2Y,M3-H2Y
G-KCFT,G-KCFT
WNM-V0,WNM-V0
6FS-CZ,6FS-CZ
HPV-RJ,HPV-RJ
H7S-5I,H7S-5I
C3J0-O,C3J0-O
GSO-SR,GSO-SR
B3ZU-H,B3ZU-H
G4-QU6,G4-QU6
V2-GZS,V2-GZS
HD-HOZ,HD-HOZ
42G-OB,42G-OB
LEM-I1,LEM-I1
1S-SU1,1S-SU1
ND-GL4,ND-GL4
9-0QB7,9-0QB7
M-75WN,M-75WN
PNFW-O,PNFW-O
HVGR-R,HVGR-R
K76A-3,K76A-3
K95-9I,K95-9I
R1O-GN,R1O-GN
GQ-7SP,GQ-7SP
BGMZ-0,BGMZ-0
I2D3-5,I2D3-5
FZX-PU,FZX-PU
O9K-FT,O9K-FT
RQOO-U,RQOO-U
FB5U-I,FB5U-I
BZ-BCK,BZ-BCK
5-VFC6,5-VFC6
O5-YNW,O5-YNW
86L-9F,86L-9F
IUU3-L,IUU3-L
J-OAH2,J-OAH2
S-LHPJ,S-LHPJ
4U90-Z,4U90-Z
T-945F,T-945F
FO8M-2,FO8M-2
AD-CBT,AD-CBT
QPO-WI,QPO-WI
R8S-1K,R8S-1K
94-H3F,94-H3F
CU9-T0,CU9-T0
XCF-8N,XCF-8N
FMB-JP,FMB-JP
0P-F3K,0P-F3K
K5F-Z2,K5F-Z2
TXME-A,TXME-A
YA0-XJ,YA0-XJ
2-KF56,2-KF56
VFK-IV,VFK-IV
2R-CRW,2R-CRW
CCP-US,CCP-US
II-5O9,II-5O9
I30-3A,I30-3A
2O9G-D,2O9G-D
NC-N3F,NC-N3F
JU-OWQ,JU-OWQ
S-DN5M,S-DN5M
MXX5-9,MXX5-9
ZZZR-5,ZZZR-5
C7Y-7Z,C7Y-7Z
X-Z4DA,X-Z4DA
3OAT-Q,3OAT-Q
N-TFXK,N-TFXK
33RB-O,33RB-O
DKUK-G,DKUK-G
3QE-9Q,3QE-9Q
E-FIC0,E-FIC0
ZOYW-O,ZOYW-O
85-B52,85-B52
YZ-UKA,YZ-UKA
RO0-AF,RO0-AF
5W3-DG,5W3-DG
LT-DRO,LT-DRO
7T6P-C,7T6P-C
8S28-3,8S28-3
E3UY-6,E3UY-6
LEK-N5,LEK-N5
AGG-NR,AGG-NR
0V0R-R,0V0R-R
O-2RNZ,O-2RNZ
OWXT-5,OWXT-5
3JN9-Q,3JN9-Q
3T7-M8,3T7-M8
WUZ-WM,WUZ-WM
MZ1E-P,MZ1E-P
43B-O1,43B-O1
J1AU-9,J1AU-9
X3-PBC,X3-PBC
4N-BUI,4N-BUI
N2IS-B,N2IS-B
XCBK-X,XCBK-X
GY5-26,GY5-26
VPLL-N,VPLL-N
9CK-KZ,9CK-KZ
5S-KXA,5S-KXA
U-TJ7Y,U-TJ7Y
A4L-A2,A4L-A2
CZDJ-1,CZDJ-1
RG9-7U,RG9-7U
UJY-HE,UJY-HE
UEJX-G,UEJX-G
Tzvi,茨维
Raa,若尔
Sifilar,西非拉尔
Arzad,阿尔扎德
Oyeman,欧耶曼
Ezzara,俄扎拉
Odin,欧丁
Esescama,厄瑟斯坎马
Choonka,切文卡
Thasinaz,塔辛纳茨
Dihra,蒂尔拉
Dital,迪塔尔
Eredan,尤洱丹
Ohide,欧西德
Sasoutikh,萨索逖库
Gheth,戈忒
Lisudeh,里苏德尔
Mehatoor,莫哈托尔
Roushzar,罗什扎尔
Labapi,拉巴比
Arayar,埃拉亚尔
Asghed,阿斯戈德
Tararan,塔拉燃
Sosan,索姗
Halmah,哈马
Rahadalon,拉哈达隆
Soosat,苏萨特
Ibash,伊巴什
Itsyamil,伊茨亚米
Mendori,蒙多利
Ussad,乌撒德
Nakatre,纳克特勒
Laddiaha,拉迪亚哈
Hakshma,哈克什马
Uadelah,尤德拉
Akes,阿克苏
Riavayed,瑞瓦耶德
Hati,哈提
Naeel,娜伊尔
Lower Debyl,下德比
Ehnoum,恩诺姆
Upper Debyl,上德比
Shastal,莎斯塔尔
Thakala,坦卡拉
Mili,米里
Faktun,法克顿
Halenan,赫勒南
Ulerah,乌勒拉
Uktiad,乌克提亚德
Nidebora,尼德博拉
Arveyil,埃尔维伊
Palpis,帕皮斯
Arnatele,爱马特利
Halle,哈尔勒
Mormoen,莫尔蒙
Amattens,爱马特恩
Jurlesel,爵尔勒瑟
Bereye,贝勒耶
Aice,艾瑟
Junsoraert,郡索尔特
Harerget,哈瑞格特
Azer,埃泽尔
Cherore,彻尔勒
Torvi,托维
Mosson,漠森
Mya,麦亚
Gerper,基尔佩尔
Marosier,马洛希尔
Lirsautton,勒萨乌敦
Blameston,布拉梅斯顿
Vaurent,瓦乌尔特
Aclan,阿克兰
Jaschercis,加舒尔茨
Ardallabier,挨达拉拜尔
Athinard,埃提纳的
Meves,梅温斯
Ethernity,伊特尔尼迪
Mattere,玛提瑞
Gicodel,基科德
Frarolle,弗拉洛勒
Quier,库伊尔
Atlanins,艾塔尼丝
Leremblompes,里瑞布洛佩斯
Bille,拜勒
Colcer,考茨尔
Alachene,爱拉彻里
Uphene,尤费勒
Elarel,厄尔瑞
Enedore,厄勒多尔
Angymonne,安吉蒙勒
Averon,亚维伦
Carirgnottin,卡利庸汀
Laic,莱茨
Odixie,奥迪科希尔
Antollare,安托拉热
Tolle,托尔勒
Avele,亚维尔
Scuelazyns,彻拉金斯
Aydoteaux,爱多陶克斯
Muer,姆尔
Groothese,格鲁提西斯
Olide,欧里德
Adeel,埃德尔
Mannar,马纳尔
Mormelot,毛尔梅罗特
Angatalie,安加塔列
Lamaa,拉马亚
Tuomuta,图欧姆塔
Otelen,欧特能
Kuomi,库欧米
Huola,霍拉
Kourmonen,阔尔蒙尼
Kamela,卡美拉
Sosala,索萨拉
Anka,安卡
Iesa,伊俄萨
Netsalakka,勒萨拉卡
